Date;Filière;Valeur (GW)
2007;"Nucléaire";63,26
2008;"Nucléaire";63,26
2009;"Nucléaire";63,13
2010;"Nucléaire";63,13
2011;"Nucléaire";63,13
2012;"Nucléaire";63,13
2013;"Nucléaire";63,13
2014;"Nucléaire";63,13
2015;"Nucléaire";63,13
2016;"Nucléaire";63,13
2017;"Nucléaire";63,13
2018;"Nucléaire";63,13
2019;"Nucléaire";63,13
2020;"Nucléaire";61,37
2021;"Nucléaire";61,37
2022;"Nucléaire";61,37
2023;"Nucléaire";61,37
2007;"Hydraulique";25,413
2008;"Hydraulique";25,36
2009;"Hydraulique";25,3569
2010;"Hydraulique";25,392
2011;"Hydraulique";25,3939
2012;"Hydraulique";25,407
2013;"Hydraulique";25,434
2014;"Hydraulique";25,5866240001
2015;"Hydraulique";25,5922590001
2016;"Hydraulique";25,6258290001
2017;"Hydraulique";25,5545815001
2018;"Hydraulique";25,5556985001
2019;"Hydraulique";25,7060245001
2020;"Hydraulique";25,6520385001
2021;"Hydraulique";25,6764960001
2022;"Hydraulique";25,6778996901
2023;"Hydraulique";25,6887204401
2007;"Thermique fossile";24,055
2008;"Thermique fossile";24,665
2009;"Thermique fossile";26,1546
2010;"Thermique fossile";27,399
2011;"Thermique fossile";27,813
2012;"Thermique fossile";27,8265
2013;"Thermique fossile";25,7067
2014;"Thermique fossile";23,899211
2015;"Thermique fossile";23,426084
2016;"Thermique fossile";21,717206
2017;"Thermique fossile";18,80054905
2018;"Thermique fossile";18,269113
2019;"Thermique fossile";18,203874
2020;"Thermique fossile";18,268927338
2021;"Thermique fossile";17,665002338
2022;"Thermique fossile";17,32479489
2023;"Thermique fossile";17,48814289
2007;"Eolien";2,252
2008;"Eolien";3,327
2009;"Eolien";4,573
2010;"Eolien";5,762
2011;"Eolien";6,714
2012;"Eolien";7,536
2013;"Eolien";8,157
2014;"Eolien";9,3032916
2015;"Eolien";10,313627
2016;"Eolien";11,794833
2017;"Eolien";13,5088149
2018;"Eolien";15,0675319
2019;"Eolien";16,4586633
2020;"Eolien";17,5481508
2021;"Eolien";18,8523904
2022;"Eolien";21,14814475
2023;"Eolien";22,84409525
2007;"Solaire";0,007
2008;"Solaire";0,03
2009;"Solaire";0,19
2010;"Solaire";0,878
2011;"Solaire";2,584
2012;"Solaire";3,727
2013;"Solaire";4,366
2014;"Solaire";5,3029761
2015;"Solaire";6,209997
2016;"Solaire";6,790718
2017;"Solaire";7,644826380002
2018;"Solaire";8,562064136536
2019;"Solaire";9,488916112747
2020;"Solaire";10,363940981428
2021;"Solaire";13,103733576773
2022;"Solaire";15,761377277
2023;"Solaire";17,368195117
2007;"Thermique renouvelable et déchets";0,953
2008;"Thermique renouvelable et déchets";0,9863
2009;"Thermique renouvelable et déchets";1,029
2010;"Thermique renouvelable et déchets";1,2239
2011;"Thermique renouvelable et déchets";1,237
2012;"Thermique renouvelable et déchets";1,3459
2013;"Thermique renouvelable et déchets";1,4961
2014;"Thermique renouvelable et déchets";1,604275
2015;"Thermique renouvelable et déchets";1,709679
2016;"Thermique renouvelable et déchets";1,874166
2017;"Thermique renouvelable et déchets";1,904942
2018;"Thermique renouvelable et déchets";2,004155
2019;"Thermique renouvelable et déchets";2,068114999999
2020;"Thermique renouvelable et déchets";2,149208999999
2021;"Thermique renouvelable et déchets";2,188412999999
2022;"Thermique renouvelable et déchets";2,190180539987
2023;"Thermique renouvelable et déchets";2,226376379987
2007;"Puissance installée totale ";115,94
2008;"Puissance installée totale ";117,63
2009;"Puissance installée totale ";120,43
2010;"Puissance installée totale ";123,78
2011;"Puissance installée totale ";126,87
2012;"Puissance installée totale ";128,97
2013;"Puissance installée totale ";128,29
2014;"Puissance installée totale ";128,83
2015;"Puissance installée totale ";130,38
2016;"Puissance installée totale ";130,94
2017;"Puissance installée totale ";130,56
2018;"Puissance installée totale ";132,63
2019;"Puissance installée totale ";135,11
2020;"Puissance installée totale ";135,4
2021;"Puissance installée totale ";139,02
2022;"Puissance installée totale ";143,7
2023;"Puissance installée totale ";147,32
